Date,USDINR
29-06-2020 23:58,75.7
30-06-2020 23:58,75.75
01-07-2020 23:58,75.4549
02-07-2020 23:58,74.721
03-07-2020 23:58,74.6782
04-07-2020 23:58,74.6782
05-07-2020 23:58,74.6793
06-07-2020 23:58,74.6076
07-07-2020 23:58,75.125
08-07-2020 23:58,74.9399
09-07-2020 23:58,75.34
10-07-2020 23:58,75.1582
11-07-2020 23:58,75.188
12-07-2020 23:58,75.1585
13-07-2020 23:58,75.45
14-07-2020 23:58,75.575
15-07-2020 23:58,75.1249
16-07-2020 23:58,75.1745
17-07-2020 23:58,74.927
18-07-2020 23:58,74.927
19-07-2020 23:58,74.8973
20-07-2020 23:58,74.99
21-07-2020 23:58,74.77
22-07-2020 23:58,74.82
23-07-2020 23:58,74.8073
24-07-2020 23:58,74.6697
25-07-2020 23:58,74.6697
26-07-2020 23:58,74.7598
27-07-2020 23:58,75
28-07-2020 23:58,75.09
29-07-2020 23:58,74.8312
30-07-2020 23:58,74.99
31-07-2020 23:58,74.8769
01-08-2020 23:58,74.8769
02-08-2020 23:58,74.9178
03-08-2020 23:58,75.33
04-08-2020 23:58,75.25
05-08-2020 23:58,74.8822
06-08-2020 23:58,74.8998
07-08-2020 23:58,75.0565
08-08-2020 23:58,75.018
09-08-2020 23:58,75.0248
10-08-2020 23:58,75.1
11-08-2020 23:58,74.9
12-08-2020 23:58,74.7721
13-08-2020 23:58,75.03
14-08-2020 23:58,74.8497
15-08-2020 23:58,74.8497
16-08-2020 23:58,74.9028
17-08-2020 23:58,75
18-08-2020 23:58,74.795
19-08-2020 23:58,74.9668
20-08-2020 23:58,74.9999
21-08-2020 23:58,74.8753
22-08-2020 23:58,74.8753
23-08-2020 23:58,74.9218
24-08-2020 23:58,74.4
25-08-2020 23:58,74.4525
26-08-2020 23:58,74.2401
27-08-2020 23:58,73.7745
28-08-2020 23:58,73.125
29-08-2020 23:58,73.125
30-08-2020 23:58,73.1283
31-08-2020 23:58,73.67
01-09-2020 23:58,73.27
02-09-2020 23:58,73.2485
03-09-2020 23:58,73.4479
04-09-2020 23:58,73.1727
05-09-2020 23:58,73.1727
06-09-2020 23:58,73.2903
07-09-2020 23:58,73.65
08-09-2020 23:58,73.7868
09-09-2020 23:58,73.55
10-09-2020 23:58,73.5273
11-09-2020 23:58,73.4255
12-09-2020 23:58,73.4255
13-09-2020 23:58,73.4786
14-09-2020 23:58,73.615
15-09-2020 23:58,73.8
16-09-2020 23:58,73.5507
17-09-2020 23:58,73.5836
18-09-2020 23:58,73.6029
19-09-2020 23:58,73.6029
20-09-2020 23:58,73.5348
21-09-2020 23:58,73.5798
22-09-2020 23:58,73.503
23-09-2020 23:58,73.7784
24-09-2020 23:58,73.6824
25-09-2020 23:58,73.696
26-09-2020 23:58,73.696
27-09-2020 23:58,73.6993
28-09-2020 23:58,73.975
29-09-2020 23:58,73.845
30-09-2020 23:58,73.705
01-10-2020 23:58,73.217
02-10-2020 23:58,73.2609
03-10-2020 23:58,73.2609
04-10-2020 23:58,73.3224
05-10-2020 23:58,73.1083
06-10-2020 23:58,73.815
07-10-2020 23:58,73.5425
08-10-2020 23:58,73.2805
09-10-2020 23:58,72.9597
10-10-2020 23:58,72.9597
11-10-2020 23:58,73.0148
12-10-2020 23:58,73.3508
13-10-2020 23:58,73.62
14-10-2020 23:58,73.2962
15-10-2020 23:58,73.371
16-10-2020 23:58,73.443
17-10-2020 23:58,73.443
18-10-2020 23:58,73.4438
19-10-2020 23:58,73.575
20-10-2020 23:58,73.6475
21-10-2020 23:58,73.6813
22-10-2020 23:58,73.72
23-10-2020 23:58,73.8229
24-10-2020 23:58,73.8229
25-10-2020 23:58,73.83415
26-10-2020 23:58,73.9485
27-10-2020 23:58,73.805
28-10-2020 23:58,74.44
29-10-2020 23:58,74.264
30-10-2020 23:58,74.5505
31-10-2020 23:58,74.5478
01-11-2020 23:58,74.5478
02-11-2020 23:58,74.4568
03-11-2020 23:58,74.6556
04-11-2020 23:58,74.38
05-11-2020 23:58,74.12
06-11-2020 23:58,73.9798
07-11-2020 23:58,73.9798
08-11-2020 23:58,73.9798
09-11-2020 23:58,73.9532
10-11-2020 23:58,74.2816
11-11-2020 23:58,74.57
12-11-2020 23:58,74.865
13-11-2020 23:58,74.4877
14-11-2020 23:58,74.4877
15-11-2020 23:58,74.4877
16-11-2020 23:58,74.4181
17-11-2020 23:58,74.4797
18-11-2020 23:58,74.42
19-11-2020 23:58,74.0996
20-11-2020 23:58,74.1624
21-11-2020 23:58,74.16265
22-11-2020 23:58,74.1624
23-11-2020 23:58,74.2449
24-11-2020 23:58,73.9608
25-11-2020 23:58,73.7799
26-11-2020 23:58,74.0488
27-11-2020 23:58,73.9069
28-11-2020 23:58,73.9409
29-11-2020 23:58,73.9409
30-11-2020 23:58,74.0252
01-12-2020 23:58,73.655
02-12-2020 23:58,73.6626
03-12-2020 23:58,73.8649
04-12-2020 23:58,73.7903
05-12-2020 23:58,73.7903
06-12-2020 23:58,73.7903
07-12-2020 23:58,74.02
08-12-2020 23:58,73.7264
09-12-2020 23:58,73.935
10-12-2020 23:58,73.7267
11-12-2020 23:58,73.738
12-12-2020 23:58,73.738
13-12-2020 23:58,73.738
14-12-2020 23:58,73.86
15-12-2020 23:58,73.7598
16-12-2020 23:58,73.6166
17-12-2020 23:58,73.5298
18-12-2020 23:58,73.6036
19-12-2020 23:58,73.6036
20-12-2020 23:58,73.6036
21-12-2020 23:58,73.9353
22-12-2020 23:58,74.27
23-12-2020 23:58,73.8398
24-12-2020 23:58,73.5578
25-12-2020 23:58,73.689
26-12-2020 23:58,73.689
27-12-2020 23:58,73.689
28-12-2020 23:58,73.5449
29-12-2020 23:58,73.4536
30-12-2020 23:58,73.134
31-12-2020 23:58,73.0892
01-01-2021 23:58,73.092
02-01-2021 23:58,73.092
03-01-2021 23:58,73.092
04-01-2021 23:58,73.32
05-01-2021 23:58,73.3748
06-01-2021 23:58,73.36
07-01-2021 23:58,73.446
08-01-2021 23:58,73.3744
09-01-2021 23:58,73.3734
10-01-2021 23:58,73.3734
11-01-2021 23:58,73.5135
12-01-2021 23:58,73.165
13-01-2021 23:58,73.1699
14-01-2021 23:58,73.0876
15-01-2021 23:58,73.158
16-01-2021 23:58,73.159
17-01-2021 23:58,73.159
18-01-2021 23:58,73.1887
19-01-2021 23:58,73.1919
20-01-2021 23:58,72.9109
21-01-2021 23:58,72.9549
22-01-2021 23:58,72.9959
23-01-2021 23:58,72.9994
24-01-2021 23:58,72.9994
25-01-2021 23:58,72.97
26-01-2021 23:58,72.92
27-01-2021 23:58,73.0371
28-01-2021 23:58,72.9388
29-01-2021 23:58,72.904
30-01-2021 23:58,72.9066
31-01-2021 23:58,72.9066
01-02-2021 23:58,73.1198
02-02-2021 23:58,72.9163
03-02-2021 23:58,72.858
04-02-2021 23:58,72.9457
05-02-2021 23:58,72.7848
06-02-2021 23:58,72.7848
07-02-2021 23:58,72.7848
08-02-2021 23:58,72.9299
09-02-2021 23:58,72.8549
10-02-2021 23:58,72.8073
11-02-2021 23:58,72.7095
12-02-2021 23:58,72.5908
13-02-2021 23:58,72.5908
14-02-2021 23:58,72.5948
15-02-2021 23:58,72.6387
16-02-2021 23:58,72.935
17-02-2021 23:58,72.7973
18-02-2021 23:58,72.6054
19-02-2021 23:58,72.5511
20-02-2021 23:58,72.563
21-02-2021 23:58,72.553
22-02-2021 23:58,72.444
23-02-2021 23:58,72.377
24-02-2021 23:58,72.4
25-02-2021 23:58,73.1509
26-02-2021 23:58,73.5959
27-02-2021 23:58,73.5959
28-02-2021 23:58,73.5959
01-03-2021 23:58,73.3094
02-03-2021 23:58,73.2775
03-03-2021 23:58,72.8807
04-03-2021 23:58,73.1318
05-03-2021 23:58,73.1334
06-03-2021 23:58,73.1334
07-03-2021 23:58,73.1334
08-03-2021 23:58,73.33
09-03-2021 23:58,72.7759
10-03-2021 23:58,72.706
11-03-2021 23:58,72.639
12-03-2021 23:58,72.689
13-03-2021 23:58,72.689
14-03-2021 23:58,72.683
15-03-2021 23:58,72.5153
16-03-2021 23:58,72.5156
17-03-2021 23:58,72.2956
18-03-2021 23:58,72.6688
19-03-2021 23:58,72.4418
20-03-2021 23:58,72.4418
21-03-2021 23:58,72.405
22-03-2021 23:58,72.3805
23-03-2021 23:58,72.6122
24-03-2021 23:58,72.6456
25-03-2021 23:58,72.6128
26-03-2021 23:58,72.4431
27-03-2021 23:58,72.4474
28-03-2021 23:58,72.4472
29-03-2021 23:58,72.7419
30-03-2021 23:58,73.4453
31-03-2021 23:58,73.2035
01-04-2021 23:58,73.2873
02-04-2021 23:58,73.3778
03-04-2021 23:58,73.37805
04-04-2021 23:58,73.376
05-04-2021 23:58,73.2795
06-04-2021 23:58,73.49
07-04-2021 23:58,74.4015
08-04-2021 23:58,74.5445
09-04-2021 23:58,74.7292
10-04-2021 23:58,74.71
11-04-2021 23:58,74.7295
12-04-2021 23:58,74.991
13-04-2021 23:58,75.1815
14-04-2021 23:58,75.0261
15-04-2021 23:58,74.7274
16-04-2021 23:58,74.5398
17-04-2021 23:58,74.533
18-04-2021 23:58,74.5632
19-04-2021 23:58,74.8782
20-04-2021 23:58,75.4492
21-04-2021 23:58,75.4295
22-04-2021 23:58,75.0917
23-04-2021 23:58,75.2115
24-04-2021 23:58,74.923
25-04-2021 23:58,74.8681
26-04-2021 23:58,74.8149
27-04-2021 23:58,74.575
28-04-2021 23:58,74.3118
29-04-2021 23:58,74.1058
30-04-2021 23:58,74.088
01-05-2021 23:58,74.088
02-05-2021 23:58,74.0948
03-05-2021 23:58,73.8375
04-05-2021 23:58,73.7789
05-05-2021 23:58,73.7994
06-05-2021 23:58,73.6152
07-05-2021 23:58,73.254
08-05-2021 23:58,73.247
09-05-2021 23:58,73.2903
10-05-2021 23:58,73.5
11-05-2021 23:58,73.3751
12-05-2021 23:58,73.6816
13-05-2021 23:58,73.4449
14-05-2021 23:58,73.2761
15-05-2021 23:58,73.2791
16-05-2021 23:58,73.2789
17-05-2021 23:58,73.2697
18-05-2021 23:58,73.1282
19-05-2021 23:58,73.2229
20-05-2021 23:58,73.0219
21-05-2021 23:58,72.903
22-05-2021 23:58,72.9105
23-05-2021 23:58,72.9098
24-05-2021 23:58,72.8366
25-05-2021 23:58,72.8049
26-05-2021 23:58,72.6725
